Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
edu_ctrl,1,32.59,2393200,2995.81,6559900,1309,7377,615.5,2393200,2995.81,6559900,1309,7377
fifo_ctrl_pibuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_pibuf,12,86.21,2252562,2760.98,6926800,1330,6886,0.0,27030744,33131.76,83121600,15960,82632
demux_pibuf,12,86.21,903811,1077.6,2657600,583,2556,122.5,10845732,12931.199999999999,31891200,6996,30672
srmem_eduloc,5,56.82,1818907,2230.49,3818700,1028,5161,0.0,9094535,11152.449999999999,19093500,5140,25805
educell_predecoder,12,32.57,7703210,9511.57,25980400,4449,23619,616.8599999999999,92438520,114138.84,311764800,53388,283428
ndronw_predec,3072,99.01,520868,623.88,1577600,328,1504,0.0,1600106496,1916559.3599999999,4846387200,1007616,4620288
edu_nexterr,3072,32.57,130818,173.58,507400,74,384,153.1,401872896,533237.76,1558732800,227328,1179648
educell_esmunit_idx,3072,86.21,115721,146.26,369700,65,376,90.3,355494912,449310.72,1135718400,199680,1155072
educell_decoder,3072,32.59,2533939,3147.79,7331000,1448,7728,547.96,7784260608,9670010.879999999,22520832000,4448256,23740416
educell_syndir,3072,86.21,258326,322.47,907300,150,806,138.72,793577472,990627.8400000001,2787225600,460800,2476032
educell_spikegen,3072,86.21,433329,537.69,1395300,250,1323,174.33999999999997,1331186688,1651783.6800000002,4286361600,768000,4064256
educell_syndromegen,3072,86.21,817258,1014.79,2826800,465,2502,193.57999999999998,2510616576,3117434.88,8683929600,1428480,7686144
ndronw_esm,3072,99.01,106439,129.87,355700,64,322,0.0,326980608,398960.64,1092710400,196608,989184
