Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
sptree_tkset,256,100.0,394485,436.05,892500,255,1020,58.4,100988160,111628.8,228480000,65280,261120
mgtree_tkset,256,100.0,472005,624.75,1249500,255,2040,82.4,120833280,159936.0,319872000,65280,522240
pe_tkset,256,86.21,20777,26.45,72500,12,68,56.8,5318912,6771.2,18560000,3072,17408
sptree_flgset,256,100.0,394485,436.05,892500,255,1020,58.4,100988160,111628.8,228480000,65280,261120
mgtree_flgset,256,100.0,472005,624.75,1249500,255,2040,82.4,120833280,159936.0,319872000,65280,522240
mgtree_errmatch,2,100.0,2841285,3760.75,7521500,1535,12280,113.30000000000001,5682570,7521.5,15043000,3070,24560
fifo_ctrl_pibuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_pibuf,21,86.21,2252562,2760.98,6926800,1330,6886,0.0,47303802,57980.58,145462800,27930,144606
demux_pibuf,21,86.21,903811,1077.6,2657600,583,2556,122.5,18980031,22629.6,55809600,12243,53676
edu_ctrl,1,32.59,2159472,2705.45,6129200,1190,6696,501.55999999999995,2159472,2705.45,6129200,1190,6696
edu_nexterr,1536,32.57,130818,173.58,507400,74,384,153.1,200936448,266618.88,779366400,113664,589824
educell_esmunit_idx,1536,86.21,115721,146.26,369700,65,376,90.3,177747456,224655.36,567859200,99840,577536
educell_decoder,1536,32.59,2570371,3195.19,7552600,1472,7905,547.96,3948089856,4907811.84,11600793600,2260992,12142080
educell_syndir,1536,86.21,258326,322.47,907300,150,806,138.72,396788736,495313.92000000004,1393612800,230400,1238016
educell_spikegen,1536,86.21,433329,537.69,1395300,250,1323,174.33999999999997,665593344,825891.8400000001,2143180800,384000,2032128
educell_syndromegen,1536,86.21,817258,1014.79,2826800,465,2502,193.57999999999998,1255308288,1558717.44,4341964800,714240,3843072
srmem_eduloc,5,56.82,1818907,2230.49,3818700,1028,5161,0.0,9094535,11152.449999999999,19093500,5140,25805
educell_predecoder,2,32.57,7703210,9511.57,25980400,4449,23619,616.8599999999999,15406420,19023.14,51960800,8898,47238
mux_pchinfo,2,86.21,26031740,31104.79,77350700,16508,73776,347.05999999999995,52063480,62209.58,154701400,33016,147552
ndronw_predecbuf,512,99.01,520868,623.88,1577600,328,1504,0.0,266684416,319426.56,807731200,167936,770048
srmem_slesm,5376,56.82,32277,40.96,84000,17,104,0.0,173521152,220200.96,451584000,91392,559104
mux_slesm,256,86.21,223127,272.24,715500,138,677,129.44,57120512,69693.44,183168000,35328,173312
demux_slesm,256,86.21,221148,273.12,633300,130,676,110.34,56613888,69918.72,162124800,33280,173056
ndronw_esm,1536,99.01,106439,129.87,355700,64,322,0.0,163490304,199480.32,546355200,98304,494592
ndronw_predec,1536,99.01,520868,623.88,1577600,328,1504,0.0,800053248,958279.6799999999,2423193600,503808,2310144
