CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.61,1e-05,0.06345
3.0,7.0,2.45,1e-05,0.0772
3.0,9.0,2.5,1e-05,0.10095
3.0,11.0,2.45,1e-05,0.11953
5.0,5.0,2.5,1e-05,0.08882999999999999
5.0,7.0,2.45,1e-05,0.1137
5.0,9.0,2.45,1e-05,0.14649
5.0,11.0,2.27,2e-05,0.1686
7.0,5.0,2.36,1e-05,0.12542999999999999
7.0,7.0,2.23,2e-05,0.15408
7.0,9.0,2.19,2e-05,0.18837
7.0,11.0,2.11,3e-05,0.22093
15.0,5.0,2.08,2.9999999999999997e-05,0.31169
15.0,7.0,1.94,4e-05,0.38627
15.0,9.0,1.94,5e-05,0.46884
15.0,11.0,1.83,6e-05,0.55611
