CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.36,0.00013000000000000002,0.0053100000000000005
3.0,7.0,2.22,0.00018,0.00646
3.0,9.0,2.26,0.00022999999999999998,0.00845
3.0,11.0,2.22,0.00027,0.01001
5.0,5.0,2.26,0.0002,0.00744
5.0,7.0,2.22,0.00025,0.00952
5.0,9.0,2.22,0.00029,0.01226
5.0,11.0,2.05,0.00036,0.01411
7.0,5.0,2.13,0.00026000000000000003,0.0105
7.0,7.0,2.02,0.00032,0.0129
7.0,9.0,1.98,0.0004,0.01577
7.0,11.0,1.91,0.0005,0.01849
15.0,5.0,1.88,0.0006799999999999999,0.02609
15.0,7.0,1.76,0.0008699999999999999,0.032330000000000005
15.0,9.0,1.76,0.0010199999999999999,0.03924
15.0,11.0,1.66,0.00118,0.04655
