Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_mobuf,1,32.51,2405154,3015.69,6833100,1284,7309,572.24,2405154,3015.69,6833100,1284,7309
ndroram_mobuf,1,86.21,6242716,7670.76,19860000,3728,19032,0.0,6242716,7670.76,19860000,3728,19032
demux_mobuf,1,86.21,2634627,3231.89,7782400,1553,7849,176.4,2634627,3231.89,7782400,1553,7849
srmem_instinfo1,19,56.82,45090,56.83,129000,24,141,0.0,856710,1079.77,2451000,456,2679
srmem_instinfo2,19,56.82,45090,56.83,129000,24,141,0.0,856710,1079.77,2451000,456,2679
srmem_pchinfo1,56,56.82,94559,117.45,231900,52,281,0.0,5295304,6577.2,12986400,2912,15736
srmem_pchinfo2,56,56.82,94559,117.45,231900,52,281,0.0,5295304,6577.2,12986400,2912,15736
lmu_ctrl,1,32.51,4148152,5118.61,12318700,2402,12685,432.78000000000003,4148152,5118.61,12318700,2402,12685
mux_pfmeas,1024,86.21,719633,885.75,2242800,423,2191,207.53999999999996,736904192,907008.0,2296627200,433152,2243584
lmu_selproduct,2,32.51,13765505,17089.55,44880600,8517,38330,860.58,27531010,34179.1,89761200,17034,76660
lmu_interpret,1,32.59,3097436,3908.89,8415600,1667,9463,693.8599999999999,3097436,3908.89,8415600,1667,9463
lmu_lqsigngen,1,32.51,3951857,4976.43,11419000,2316,11691,554.02,3951857,4976.43,11419000,2316,11691
