CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.72,0.00011,0.00822
3.0,7.0,2.42,0.00014,0.01034
3.0,9.0,2.22,0.0001699999999999,0.0133
3.0,11.0,2.14,0.00021,0.0158199999999999
5.0,5.0,2.72,0.00011,0.00822
5.0,7.0,2.42,0.00014,0.01034
5.0,9.0,2.22,0.0001699999999999,0.0133
5.0,11.0,2.14,0.00021,0.0158199999999999
7.0,5.0,2.72,0.00011,0.00822
7.0,7.0,2.42,0.00014,0.01034
7.0,9.0,2.22,0.0001699999999999,0.0133
7.0,11.0,2.14,0.00021,0.01582
15.0,5.0,2.72,0.00011,0.00822
15.0,7.0,2.42,0.00014,0.01034
15.0,9.0,2.22,0.0001699999999999,0.0133
15.0,11.0,2.14,0.00021,0.0158199999999999
