CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.71,2e-05,0.00074
3.0,7.0,2.47,3e-05,0.00098
3.0,9.0,2.22,4e-05,0.00125
3.0,11.0,2.22,5e-05,0.00155
5.0,5.0,2.71,2e-05,0.00074
5.0,7.0,2.47,3e-05,0.00098
5.0,9.0,2.22,4e-05,0.00125
5.0,11.0,2.22,5e-05,0.00155
7.0,5.0,2.71,2e-05,0.00074
7.0,7.0,2.47,3e-05,0.00098
7.0,9.0,2.22,4e-05,0.00125
7.0,11.0,2.22,5e-05,0.00155
15.0,5.0,2.71,2e-05,0.00074
15.0,7.0,2.47,3e-05,0.00098
15.0,9.0,2.22,4e-05,0.00125
15.0,11.0,2.22,5e-05,0.00155
