CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.32,0.00045,0.02795
3.0,7.0,2.27,0.00057,0.03534
3.0,9.0,2.22,0.00067,0.04261
3.0,11.0,2.18,0.0008,0.04924
5.0,5.0,2.14,0.00085,0.04862
5.0,7.0,2.22,0.00107,0.05992
5.0,9.0,2.18,0.00125,0.07364
5.0,11.0,2.14,0.00144,0.08584
7.0,5.0,2.14,0.00138,0.07346
7.0,7.0,2.18,0.00175,0.09372
7.0,9.0,2.06,0.00206,0.1192
7.0,11.0,2.06,0.00238,0.13271
15.0,5.0,1.98,0.0053,0.27399
15.0,7.0,1.95,0.00669,0.34394
15.0,9.0,1.85,0.00772,0.42049
15.0,11.0,1.91,0.00898,0.5
