CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.36,0.0001,0.00265
3.0,7.0,2.31,0.00013000000000000002,0.00334
3.0,9.0,2.26,0.00015,0.00402
3.0,11.0,2.22,0.00017,0.00463
5.0,5.0,2.18,0.00018999999999999998,0.00458
5.0,7.0,2.26,0.00024,0.00569
5.0,9.0,2.22,0.00028,0.00689
5.0,11.0,2.18,0.00033,0.00809
7.0,5.0,2.18,0.00032,0.006940000000000001
7.0,7.0,2.13,0.00039,0.00845
7.0,9.0,2.13,0.00047000000000000004,0.01121
7.0,11.0,2.05,0.00055,0.01228
15.0,5.0,2.05,0.00121,0.02615
15.0,7.0,1.91,0.00152,0.03104
15.0,9.0,1.95,0.00179,0.04091
15.0,11.0,1.98,0.00206,0.04816
