Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_opbuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
srmem_pchinfo1,59,56.82,159483,196.84,349400,89,464,0.0,9409497,11613.56,20614600,5251,27376
srmem_pchinfo2,59,56.82,159483,196.84,349400,89,464,0.0,9409497,11613.56,20614600,5251,27376
pfu_ctrl,1,86.21,588149,716.34,2243000,356,1755,191.62,588149,716.34,2243000,356,1755
sptree_cwdgen,1,100.0,13412490,14825.7,30345000,8670,34680,58.4,13412490,14825.7,30345000,8670,34680
pfu_cwdgen,256,86.21,2331299,2878.27,8621300,1352,7115,435.38,596812544,736837.12,2207052800,346112,1821440
demux_cwdpatch,256,86.21,4134573,5084.05,14524600,2406,12283,221.68,1058450688,1301516.8,3718297600,615936,3144448
pfu_pfupdater,5376,28.25,751086,908.94,1923200,461,2203,344.7,4037838336,4886461.44,10339123200,2478336,11843328
