CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,1.76,0.00025,0.01846
3.0,7.0,1.68,0.0003,0.02269
3.0,9.0,1.63,0.00037,0.02871
3.0,11.0,1.58,0.00045,0.03346
5.0,5.0,1.76,0.00025,0.01846
5.0,7.0,1.68,0.0003,0.02269
5.0,9.0,1.63,0.00037,0.02871
5.0,11.0,1.58,0.00045,0.03346
7.0,5.0,1.76,0.00025,0.01846
7.0,7.0,1.68,0.0003,0.02269
7.0,9.0,1.63,0.00037,0.02871
7.0,11.0,1.58,0.00045,0.03346
15.0,5.0,1.76,0.00025,0.01846
15.0,7.0,1.68,0.0003,0.02269
15.0,9.0,1.63,0.00037,0.02871
15.0,11.0,1.58,0.00045,0.03346
