CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,1.88,5.9999999999999995e-05,0.00182
3.0,7.0,1.68,7e-05,0.0021
3.0,9.0,1.63,9e-05,0.00268
3.0,11.0,1.5,0.0001,0.0029
5.0,5.0,1.88,5.9999999999999995e-05,0.00182
5.0,7.0,1.68,7e-05,0.0021
5.0,9.0,1.63,9e-05,0.00268
5.0,11.0,1.5,0.0001,0.0029
7.0,5.0,1.88,5.9999999999999995e-05,0.00182
7.0,7.0,1.68,7e-05,0.0021
7.0,9.0,1.63,9e-05,0.00268
7.0,11.0,1.5,0.0001,0.0029
15.0,5.0,1.88,5.9999999999999995e-05,0.00182
15.0,7.0,1.68,7e-05,0.0021
15.0,9.0,1.63,9e-05,0.00268
15.0,11.0,1.5,0.0001,0.0029
