CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.23,2e-05,0.08836000000000001
3.0,7.0,2.23,2e-05,0.10821
3.0,9.0,2.11,2e-05,0.13145
3.0,11.0,2.08,3e-05,0.14714000000000002
5.0,5.0,2.19,3e-05,0.15419000000000002
5.0,7.0,2.11,4e-05,0.18382
5.0,9.0,2.11,5e-05,0.2129
5.0,11.0,2.08,5e-05,0.26
7.0,5.0,2.08,4e-05,0.22651
7.0,7.0,2.08,6e-05,0.2814
7.0,9.0,2.08,7e-05,0.3467
7.0,11.0,2.01,8e-05,0.39007
15.0,5.0,2.04,0.00016,0.7863
15.0,7.0,1.98,0.0002,0.99475
15.0,9.0,1.88,0.00022,1.1868100000000001
15.0,11.0,1.78,0.00026000000000000003,1.40659
