CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.02,0.00033,0.0074
3.0,7.0,2.02,0.00039,0.00906
3.0,9.0,1.91,0.00045,0.011000000000000001
3.0,11.0,1.88,0.0005099999999999999,0.01232
5.0,5.0,1.98,0.0006,0.01291
5.0,7.0,1.91,0.0007599999999999999,0.01539
5.0,9.0,1.91,0.0008900000000000002,0.01782
5.0,11.0,1.88,0.00102,0.02176
7.0,5.0,1.88,0.00086,0.01896
7.0,7.0,1.88,0.00109,0.02355
7.0,9.0,1.88,0.00134,0.029019999999999997
7.0,11.0,1.82,0.00154,0.03265
15.0,5.0,1.85,0.00307,0.06582
15.0,7.0,1.79,0.00391,0.08326
15.0,9.0,1.71,0.00441,0.09934
15.0,11.0,1.61,0.00514,0.11774
