Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_opbuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
srmem_pchinfo1,56,56.82,94559,117.45,231900,52,281,0.0,5295304,6577.2,12986400,2912,15736
srmem_pchinfo2,56,56.82,94559,117.45,231900,52,281,0.0,5295304,6577.2,12986400,2912,15736
srmem_cnt,36,56.82,194818,240.14,422900,109,564,0.0,7013448,8645.039999999999,15224400,3924,20304
mux_cnt,1,86.21,5208043,6189.22,17052900,3368,14717,238.77999999999997,5208043,6189.22,17052900,3368,14717
psu_ctrl,1,32.51,944502,1189.93,2962300,531,2931,343.2,944502,1189.93,2962300,531,2931
psu_opNloc,1,32.53,9105537,11146.99,26321500,5391,26999,449.21999999999997,9105537,11146.99,26321500,5391,26999
sptree_mgin,1,100.0,18935280,20930.4,42840000,12240,48960,58.4,18935280,20930.4,42840000,12240,48960
psu_maskgen,256,32.51,17044333,21218.35,50213400,9455,52344,1289.8200000000002,4363349248,5431897.6,12854630400,2420480,13400064
demux_maskpch,4,86.21,6795852,8148.92,21040500,4274,19230,176.04000000000002,27183408,32595.68,84162000,17096,76920
demux_maskuc,96,86.21,2840331,3437.98,9119600,1723,8194,195.16,272671776,330046.08,875481600,165408,786624
demux_maskqb,6144,100.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0
sptree_cwd,1,100.0,38012884,42018.12,86002000,24572,98288,94.89999999999999,38012884,42018.12,86002000,24572,98288
psu_cwdgen,6144,109.89,43113,54.17,174100,27,140,40.3,264886272,332820.48,1069670400,165888,860160
