Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
fifo_ctrl_opbuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_opbuf,1,86.21,469730,587.14,1531200,270,1486,0.0,469730,587.14,1531200,270,1486
demux_opbuf,1,86.21,188553,229.1,593600,117,558,93.3,188553,229.1,593600,117,558
srmem_pchinfo,59,56.82,138282,170.86,304500,77,404,0.0,8158638,10080.740000000002,17965500,4543,23836
srmem_cnt,36,56.82,194818,240.14,422900,109,564,0.0,7013448,8645.039999999999,15224400,3924,20304
mux_cnt,1,86.21,5208043,6189.22,17052900,3368,14717,238.77999999999997,5208043,6189.22,17052900,3368,14717
psu_ctrl,1,32.51,1108057,1376.39,3438900,643,3374,350.82,1108057,1376.39,3438900,643,3374
psu_opNloc,1,32.53,2800447,3505.67,8271300,1564,8711,392.67999999999995,2800447,3505.67,8271300,1564,8711
sptree_mgin,1,100.0,1707888,1887.84,3864000,1104,4416,36.5,1707888,1887.84,3864000,1104,4416
psu_maskgen,24,32.51,17044333,21218.35,50213400,9455,52344,1289.8200000000002,409063992,509240.39999999997,1205121600,226920,1256256
demux_maskpch,1,86.21,23611797,28312.33,75203500,14622,66109,287.38,23611797,28312.33,75203500,14622,66109
demux_maskuc,54,86.21,8743436,10639.23,29813800,5210,25345,243.58,472145544,574518.4199999999,1609945200,281340,1368630
demux_maskqb,9216,100.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0
sptree_cwd,1,100.0,57022420,63030.6,129010000,36860,147440,102.2,57022420,63030.6,129010000,36860,147440
psu_cwdgen,9216,109.89,43113,54.17,174100,27,140,40.3,397329408,499230.72000000003,1604505600,248832,1290240
