CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.72,0.00032,0.03286
3.0,7.0,2.66,0.00041,0.04306
3.0,9.0,2.59,0.00054,0.0580399999999999
3.0,11.0,2.59,0.00064,0.069
5.0,5.0,2.72,0.00032,0.03286
5.0,7.0,2.66,0.00041,0.04306
5.0,9.0,2.59,0.00054,0.05804
5.0,11.0,2.59,0.00064,0.069
7.0,5.0,2.72,0.00032,0.03286
7.0,7.0,2.66,0.00041,0.04306
7.0,9.0,2.59,0.00054,0.0580399999999999
7.0,11.0,2.59,0.00064,0.069
15.0,5.0,2.72,0.00032,0.03286
15.0,7.0,2.66,0.00041,0.04306
15.0,9.0,2.59,0.00054,0.05804
15.0,11.0,2.59,0.00064,0.069
