CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.77,7e-05,0.0030800000000000003
3.0,7.0,2.77,9e-05,0.00419
3.0,9.0,2.71,0.00011999999999999999,0.00562
3.0,11.0,2.64,0.00015,0.006529999999999999
5.0,5.0,2.77,7e-05,0.0030800000000000003
5.0,7.0,2.77,9e-05,0.00419
5.0,9.0,2.71,0.00011999999999999999,0.00562
5.0,11.0,2.64,0.00015,0.006529999999999999
7.0,5.0,2.77,7e-05,0.0030800000000000003
7.0,7.0,2.77,9e-05,0.00419
7.0,9.0,2.71,0.00011999999999999999,0.00562
7.0,11.0,2.64,0.00015,0.00653
15.0,5.0,2.77,7e-05,0.0030800000000000003
15.0,7.0,2.77,9e-05,0.00419
15.0,9.0,2.71,0.00011999999999999999,0.00562
15.0,11.0,2.64,0.00015,0.006529999999999999
