CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,2.95,0.0008699999999999,0.06262
3.0,7.0,3.03,0.00109,0.07682
3.0,9.0,3.03,0.00145,0.09443
3.0,11.0,3.03,0.0016699999999999,0.11075
5.0,5.0,2.95,0.00223,0.14664
5.0,7.0,2.95,0.00279,0.18632
5.0,9.0,2.87,0.0035399999999999,0.22432
5.0,11.0,3.03,0.00417,0.26175
7.0,5.0,2.72,0.00405,0.25936
7.0,7.0,2.87,0.00484,0.32438
7.0,9.0,2.87,0.0062,0.39643
7.0,11.0,2.79,0.00692,0.44765
15.0,5.0,2.22,0.0088,0.7190000000000001
15.0,7.0,2.08,0.0111,0.894
15.0,9.0,2.04,0.0135,1.096
