CODE_DIST,NUM_LQ,Frequency(GHz),PowerStatic(W),PowerDynamic(W)
3.0,5.0,3.08,0.0002,0.00602
3.0,7.0,3.08,0.00025,0.0073
3.0,9.0,3.08,0.00033,0.00885
3.0,11.0,3.08,0.00039,0.01045
5.0,5.0,3.08,0.00049,0.01407
5.0,7.0,3.0,0.00064,0.01741
5.0,9.0,3.0,0.0007700000000000001,0.02112
5.0,11.0,2.92,0.00091,0.02314
7.0,5.0,2.84,0.00091,0.024919999999999998
7.0,7.0,2.92,0.00112,0.03024
7.0,9.0,2.84,0.0013800000000000002,0.03634
7.0,11.0,2.84,0.00156,0.04213
15.0,5.0,2.61,0.0034100000000000003,0.1008
15.0,7.0,2.19,0.00425,0.11291
15.0,9.0,2.33,0.005220000000000001,0.14995
