Name,Delay,C2ITime,I2CTime,I2ITime,A2ATime,B2BTime,C2CTime,A2BTime,B2ATime,Height,Width,JJs,Area,PowerStatic,EnergyDynamic
mitll_always0_async,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,40,2,2800,910,0.52
mitll_always0_async_noA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,30,1,2100,455,0.0
mitll_always0_sync,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,50,3,3500,1365,1.03
mitll_always0_sync_noA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,30,2,2100,910,0.52
mitll_jtl,3.5,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,70,30,2,2100,910,1.03
mitll_buff,6.8,0.0,0.0,3.4,3.4,0.0,0.0,0.0,0.0,70,50,4,3500,2132,2.07
mitll_split,6.8,0.0,0.0,3.4,3.4,0.0,0.0,0.0,0.0,70,50,4,3500,2093,2.17
mitll_merge,10.7,0.0,0.0,8.9,8.4,8.9,0.0,3.0,3.0,70,70,8,4900,2526,3.09
mitll_ptltx,3.3,0.0,0.0,7.2,7.2,0.0,0.0,0.0,0.0,70,30,2,2100,910,1.03
mitll_ptlrx,5.5,0.0,0.0,6.8,6.8,0.0,0.0,0.0,0.0,70,40,3,2800,782,1.27
mitll_dff,5.8,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,70,60,7,4200,1815,2.84
mitll_and,7.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,90,15,6300,2805,5.78
mitll_or,5.5,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,70,80,12,5600,2980,5.3
mitll_xor,5.8,4.4,0.2,3.5,3.5,3.5,0.0,0.0,0.0,70,70,11,4900,2402,4.64
mitll_not,10.8,8.4,2.6,12.8,0.0,0.0,12.8,0.0,0.0,70,70,9,4900,2259,3.66
mitll_xnor,21.8,8.6,2.6,13.4,3.4,3.5,13.4,0.0,0.0,70,100,18,7000,4215,8.31
mitll_ndro,5.0,0.0,0.0,6.9,0.0,0.0,6.9,1.5,1.9,70,70,11,4900,2878,4.71
mitll_dcsfq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,30,3,2100,1170,0.0
mitll_sfqdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,60,8,4200,1898,0.0
mitll_always0t_async,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,10,0,700,0,0.0
mitll_always0t_async_noA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,10,0,700,0,0.0
mitll_always0t_sync,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,10,0,700,0,0.0
mitll_always0t_sync_noA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,10,0,700,0,0.0
mitll_jtlt,6.2,0.0,0.0,6.8,6.8,0.0,0.0,0.0,0.0,70,40,3,2800,1110,1.26
mitll_bufft,7.3,0.0,0.0,7.9,7.9,0.0,0.0,0.0,0.0,70,40,3,2800,1321,1.45
mitll_splitt,7.3,0.0,0.0,9.1,9.1,0.0,0.0,0.0,0.0,70,50,4,3500,1547,1.71
mitll_merget,8.0,0.0,0.0,3.3,3.3,3.3,0.0,3.2,2.3,70,70,8,4900,1851,2.45
mitll_dfft,8.5,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,70,80,10,5600,2878,4.05
mitll_andt,9.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,100,16,7000,2787,4.75
mitll_ort,5.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70,100,14,7000,2722,4.11
mitll_xort,5.5,3.9,2.3,3.3,3.3,3.3,0.0,0.0,0.0,70,100,18,7000,2985,5.18
mitll_nott,13.5,8.0,0.0,11.6,0.0,0.0,11.6,0.0,0.0,70,100,12,7000,2545,3.82
mitll_xnort,19.0,12.5,18.1,30.0,7.5,7.5,30.0,0.0,0.0,70,90,18,6300,4280,7.98
mitll_ndrot,9.0,0.0,0.0,10.1,0.0,0.0,10.1,2.2,5.0,70,120,18,8400,3713,5.74
mitll_dcsfq-ptltx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,60,5,3000,1981,0.0
mitll_ptlrx-sfqdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,100,11,7000,2301,0.0
mitll_ptl,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20,0,400,0,0.0
